Latitude,Longitude
19.07315,73.01788
19.07307,73.0179
19.07298,73.01794
19.07309,73.01798
19.07376,73.01788
19.07439,73.01755
19.07513,73.0174
19.07561,73.01731
19.07609,73.01722
19.07659,73.01712
19.07708,73.01702
19.07771,73.0169
19.0783,73.01695
19.0784,73.01696
19.0784,73.01688
19.07846,73.01611
19.07852,73.01543
19.07857,73.01475
19.0786,73.01437
19.07861,73.01427
19.07865,73.01379
19.07869,73.0133
19.07873,73.01282
19.07875,73.01254
19.07879,73.01203
19.07883,73.01153
19.07887,73.01102
19.07891,73.01052
19.07895,73.01001
19.07954,73.01004
19.08006,73.01009
19.08059,73.01014
19.08111,73.01019
19.08124,73.01022
19.08136,73.01027
19.08169,73.01047
19.08189,73.01054
19.08261,73.01103
19.083,73.01129
19.08372,73.01178
19.08385,73.01187
19.08424,73.01213
19.08463,73.01239
19.08502,73.01266
19.08541,73.01292
19.0858,73.01318
19.08586,73.01322
19.0859,73.01324
19.08594,73.01317
19.08627,73.01262
19.08667,73.01194
19.08738,73.0124
19.08773,73.01261
19.08798,73.01276
19.08842,73.01304
19.08869,73.01321
19.0888,73.01328
19.08955,73.01379
19.08963,73.01363
19.08997,73.01311
19.0903,73.01258
19.09034,73.01252
19.09036,73.01243
19.09029,73.01212
19.09045,73.01204
19.09061,73.01202
19.09072,73.01203
19.0909,73.0122
19.09102,73.01224
19.09121,73.01194
19.09132,73.01186
19.09144,73.01183
19.09154,73.01192
19.09164,73.012
19.09187,73.01209
19.09207,73.01213
19.09258,73.01224
19.09268,73.01224
19.09274,73.01225
19.09279,73.01226
19.0928,73.01227
19.09319,73.01229
19.09376,73.01232
19.09432,73.01236
19.09489,73.01239
19.0954,73.01241
19.09562,73.01242
19.09569,73.01241
19.09577,73.01238
19.09591,73.01234
19.09601,73.01233
19.09657,73.01235
19.09713,73.01236
19.09717,73.01179
19.09792,73.01181
19.09813,73.01181
19.09827,73.01177
19.09839,73.01171
19.09849,73.01164
19.09895,73.01132
19.09905,73.01127
19.0992,73.01118
19.09963,73.01102
19.10007,73.01087
19.1005,73.01071
19.10093,73.01055
19.10141,73.01039
19.1019,73.01024
19.10238,73.01008
19.10291,73.00992
19.10344,73.00975
19.10388,73.00962
19.10431,73.00948
19.10514,73.00922
19.1056,73.00908
19.10606,73.00893
19.1066,73.00877
19.10714,73.0086
19.10767,73.00843
19.10821,73.00827
19.10824,73.00826
19.10856,73.00816
19.10927,73.00794
19.10974,73.00779
19.11021,73.00765
19.11068,73.0075
19.11115,73.00735
19.11178,73.00716
19.11186,73.00714
19.11191,73.00713
19.11213,73.00708
19.1122,73.00706
19.1124,73.00703
19.11255,73.00698
19.11319,73.00679
19.11324,73.00677
19.11349,73.0067
19.11355,73.00667
19.11372,73.00656
19.1138,73.00651
19.11393,73.00641
19.11403,73.00637
19.11429,73.0062
19.11444,73.0061
19.11464,73.00603
19.11514,73.00588
19.11564,73.00573
19.11614,73.00557
19.11664,73.00542
19.11727,73.00524
19.11764,73.00513
19.11771,73.00512
19.11781,73.00509
19.11802,73.00504
19.11826,73.005
19.11902,73.00491
19.11936,73.00487
19.11974,73.00478
19.12023,73.00465
19.12081,73.00448
19.12138,73.00431
19.12196,73.00414
19.12245,73.00399
19.12295,73.00385
19.12344,73.0037
19.12393,73.00355
19.124,73.00351
19.12404,73.00344
19.12407,73.00338
19.12409,73.0033
19.12409,73.00323
19.12411,73.00317
19.12415,73.00313
19.12429,73.00304
19.12446,73.00292
19.12475,73.00281
19.12502,73.00281
19.12521,73.00283
19.12556,73.00282
19.12572,73.00278
19.12601,73.00269
19.12598,73.00245
19.1258,73.00182
19.12577,73.00165
19.12576,73.0016
19.12572,73.00126
19.12571,73.00114
19.12571,73.0006
19.12573,73.00047
19.12573,73.00031
19.12588,73.00032
19.12599,73.00032
19.12605,73.00035
19.12614,73.00043
19.12631,73.00043
19.12639,73.00041
19.12645,73.0004
19.12665,73.00038
19.12685,73.0003
19.12688,73.00029
19.12712,73.00024
19.1272,73.00023
19.12731,73.00024
19.12736,73.00026
19.12738,73.00035
19.12745,73.00045
19.12754,73.00049
19.12761,73.0005
19.1278,73.00047
19.12789,73.00044
19.12801,73.00042
19.12816,73.00035
19.12819,73.00034
19.12831,73.0003
19.12834,73.00028
19.12857,73.00023
19.12866,73.00022
19.12878,73.00024
19.12889,73.00027
19.12897,73.00027
19.12904,73.0003
19.12905,73.0003
19.12916,73.00031
19.12923,73.00031
19.12933,73.00031
19.12949,73.00033
19.12953,73.00019
19.12961,72.99989
19.13015,73.00003
19.13059,73.00015
19.13069,73.00018
19.13112,73.0003
19.13171,73.00048
19.13178,73.00053
19.13185,73.00054
19.13186,73.00047
19.13184,73.00037
19.13191,73.00007
19.13194,72.99998
19.13197,72.99989
19.13207,72.99989
19.13284,72.99982
19.1333,72.99978
19.13376,72.99974
19.13422,72.9997
19.1345,72.99967
19.13473,72.99965
19.13494,72.99963
19.13519,72.99947
19.13537,72.99934
19.1356,72.99926
19.13577,72.99911
19.13587,72.99909
19.13595,72.99905
19.1362,72.99895
19.13639,72.99892
19.13657,72.99892
19.13675,72.99892
19.13678,72.99878
19.13687,72.99866
19.13704,72.99854
19.13716,72.99847
19.13733,72.99835
19.13742,72.99831
19.13755,72.99831
19.13774,72.9983
19.13793,72.99826
19.13835,72.99825
19.13851,72.99834
19.13885,72.9985
19.13899,72.9986
19.13916,72.99878
19.13926,72.99899
19.13946,72.99902
19.13967,72.99912
19.13986,72.99916
19.14004,72.99917
19.14027,72.99913
19.14044,72.99911
19.14062,72.99917
19.14071,72.99926
19.14077,72.99926
19.14094,72.99926
19.1411,72.99926
19.14125,72.99928
19.14123,72.99877
19.14134,72.99872
19.14141,72.9987
19.1415,72.99864
19.14174,72.99848
19.14192,72.99837
19.14198,72.99835
19.14213,72.99829
19.14237,72.99827
19.1425,72.99825
19.14258,72.99825
19.14255,72.99794
19.14254,72.99776
19.14249,72.99725
19.1425,72.99711
19.14254,72.99706
19.14258,72.99705
19.14267,72.99703
19.14277,72.99702
19.14295,72.99699
19.14298,72.99647
19.143,72.99594
19.14304,72.99507
19.14354,72.99508
19.14404,72.99508
19.14454,72.99509
19.14461,72.99509
19.1452,72.99511
19.14578,72.99512
19.14637,72.99514
19.14697,72.99518
19.14757,72.99521
19.14812,72.99525
19.14824,72.99519
19.14824,72.99509
19.14826,72.99455
19.14827,72.99402
19.14829,72.99348
19.14829,72.99335
19.1483,72.99324
19.14833,72.99314
19.1484,72.99302
19.14873,72.99271
19.14876,72.99269
19.14879,72.99266
19.14882,72.99262
19.14882,72.99258
19.14889,72.99236
19.14895,72.99202
19.14905,72.99171
19.1491,72.99145
19.14913,72.9906
19.14915,72.99011
19.14919,72.98978
19.14924,72.98935
19.14934,72.98881
19.14944,72.98826
19.14954,72.98772
19.14963,72.98718
19.14973,72.98663
19.14983,72.98609
19.14992,72.98557
19.15002,72.98505
19.15011,72.98453
19.15019,72.98405
19.15028,72.98357
19.15036,72.9831
19.15045,72.98262
19.15053,72.98214
19.15062,72.98166
19.1507,72.98119
19.15079,72.98071
19.15087,72.98023
19.15096,72.97975
19.15104,72.97928
19.15113,72.9788
19.15121,72.97832
19.1513,72.97784
19.15138,72.97737
19.15147,72.97689
19.15155,72.97641
19.15164,72.97593
19.15172,72.97546
19.15181,72.97498
19.15189,72.9745
19.15197,72.97403
19.15206,72.97356
19.15214,72.97309
19.15222,72.97262
19.15231,72.97215
19.15239,72.97168
19.15247,72.9712
19.15256,72.97073
19.15264,72.97026
19.15272,72.96979
19.15281,72.96932
19.15289,72.96885
19.15296,72.96848
19.15307,72.96795
19.15318,72.96741
19.1533,72.96688
19.15341,72.96634
19.15352,72.96581
19.1536,72.9652
19.15367,72.96459
19.15374,72.96399
19.15386,72.96335
19.15397,72.9627
19.15401,72.96234
19.15406,72.96201
19.15409,72.96145
19.15412,72.96094
19.15414,72.96043
19.1542,72.95959
19.15434,72.95874
19.15444,72.95825
19.15447,72.95811
19.15459,72.95759
19.15468,72.95715
19.15476,72.95682
19.15465,72.95675
19.15426,72.95649
19.15388,72.95623
19.1535,72.95596
19.15311,72.9557
19.15273,72.95544
19.15234,72.95518
19.15196,72.95491
19.15157,72.95465
19.15118,72.9544
19.15079,72.95416
19.1504,72.95391
19.15001,72.95367
19.14962,72.95343
19.14923,72.95318
19.14884,72.95294
19.14845,72.95269
19.14806,72.95245
19.14766,72.9522
19.14727,72.95196
19.14688,72.95171
19.14649,72.95147
19.1461,72.95122
19.14571,72.95098
19.14532,72.95073
19.14493,72.95049
19.14454,72.95024
19.14403,72.94994
19.14361,72.94969
19.1432,72.94943
19.14278,72.94918
19.14236,72.94893
19.14194,72.94867
19.14153,72.94842
19.14111,72.94817
19.14069,72.94791
19.14027,72.94766
19.13986,72.94741
19.13944,72.94715
19.13902,72.9469
19.1386,72.94665
19.13819,72.94639
19.13777,72.94614
19.1372,72.94577
19.1367,72.94548
19.13621,72.94518
19.13571,72.94489
19.13522,72.94453
19.1348,72.94428
19.13438,72.94403
19.13396,72.94377
19.13354,72.94352
19.13312,72.94327
19.1327,72.94302
19.13228,72.94277
19.13186,72.94252
19.13144,72.94226
19.13102,72.94201
19.1306,72.94176
19.13012,72.94151
19.12968,72.94123
19.12924,72.94096
19.12879,72.94069
19.12835,72.94041
19.12765,72.93999
19.1269,72.93961
19.12644,72.9394
19.12597,72.93919
19.12545,72.93898
19.12494,72.93876
19.12442,72.93855
19.12435,72.93846
19.12432,72.93841
19.1243,72.93824
19.1244,72.93798
19.12459,72.93732
19.12477,72.93665
19.12485,72.9361
19.12488,72.93562
19.1249,72.93513
19.12493,72.93465
19.12496,72.93417
19.12499,72.93369
19.12501,72.9332
19.12504,72.93272
19.12506,72.93218
19.12508,72.93163
19.1251,72.93109
19.12513,72.93054
19.12515,72.93
19.12517,72.92945
19.12518,72.92873
19.12518,72.92863
19.12525,72.92826
19.12526,72.92757
19.12521,72.92742
19.12527,72.92729
19.12529,72.92714
19.12529,72.9265
19.12529,72.92587
19.12535,72.92532
19.12537,72.92521
19.12503,72.92521
19.12445,72.92522
19.12389,72.92524
19.12332,72.92527
19.12315,72.92528
19.12232,72.92536
19.12224,72.92537
19.12217,72.92537
19.12168,72.92545
19.12121,72.92551
19.12047,72.92564
19.11996,72.92573
19.11944,72.92581
19.11905,72.92588
19.11863,72.92591
19.11848,72.92593
19.11775,72.92599
19.11753,72.92602
19.11685,72.92605
19.11645,72.92606
19.11593,72.92608
19.11542,72.9261
19.1149,72.92612
19.11431,72.92612
19.11423,72.92612
19.11411,72.92613
19.11344,72.9261
19.11278,72.92607
19.11212,72.92593
19.11151,72.92577
19.11117,72.92567
19.11071,72.92546
19.11057,72.92542
19.11003,72.92513
19.10992,72.92508
19.10948,72.92483
19.10881,72.92441
19.10827,72.92408
19.10788,72.9238
19.10748,72.92351
19.10703,72.9232
19.10657,72.9229
19.10612,72.92259
19.10567,72.92229
19.10524,72.92199
19.1048,72.92168
19.10462,72.92155
19.10422,72.92126
19.10383,72.92097
19.10343,72.92068
19.10331,72.92059
19.10322,72.92052
19.10248,72.92
19.10238,72.91992
19.10168,72.91936
19.10131,72.91908
19.10094,72.91881
19.10057,72.91853
19.10008,72.91814
19.09986,72.91796
19.09976,72.91788
19.09924,72.91744
19.09895,72.91723
19.09877,72.91709
19.09814,72.91656
19.09768,72.91619
19.09722,72.91581
19.09706,72.91568
19.0966,72.91528
19.09614,72.91488
19.09575,72.91453
19.09537,72.91418
19.09504,72.91391
19.09466,72.91358
19.09427,72.91325
19.09357,72.91273
19.09313,72.91237
19.09267,72.91199
19.09214,72.91162
19.09206,72.91154
19.09162,72.91121
19.09129,72.91089
19.09092,72.91031
19.09064,72.90987
19.09035,72.90942
19.09008,72.90901
19.08981,72.90859
19.08941,72.90797
19.08931,72.90777
19.08918,72.90761
19.0889,72.90719
19.08861,72.90677
19.08831,72.9063
19.08822,72.90603
19.08811,72.90575
19.08804,72.90543
19.08796,72.90501
19.08781,72.90431
19.0878,72.90421
19.08765,72.90344
19.0875,72.90259
19.08742,72.9021
19.08732,72.90159
19.08723,72.90107
19.08713,72.90056
19.08703,72.90002
19.08693,72.89949
19.08683,72.89895
19.08674,72.89845
19.08665,72.89794
19.08655,72.89741
19.08644,72.89688
19.08634,72.89635
19.0862,72.89589
19.08606,72.89543
19.08582,72.89464
19.08576,72.89449
19.08559,72.89399
19.08541,72.89349
19.0852,72.89291
19.08505,72.89249
19.08482,72.89179
19.0848,72.89174
19.08476,72.89148
19.08471,72.89119
19.08471,72.89094
19.0847,72.89042
19.08481,72.8895
19.08487,72.889
19.08492,72.8885
19.08496,72.88821
19.08504,72.88756
19.08508,72.88702
19.0851,72.88663
19.08505,72.88639
19.085,72.88608
19.08497,72.88599
19.08477,72.88547
19.08457,72.88494
19.08429,72.88415
19.08403,72.88338
19.08372,72.88287
19.08364,72.88277
19.08341,72.88258
19.0834,72.88258
19.08328,72.88252
19.08288,72.8823
19.08247,72.88208
19.08207,72.88186
19.08166,72.88164
19.08126,72.88142
19.08082,72.88107
19.08038,72.88073
19.07994,72.88038
19.07951,72.88005
19.07908,72.87972
19.07865,72.87938
19.07822,72.87905
19.07779,72.87872
19.07718,72.87826
19.07671,72.87791
19.07628,72.87759
19.0762,72.87752
19.0761,72.87743
19.07596,72.8773
19.07592,72.87726
19.07586,72.87721
19.07549,72.87694
19.07511,72.87666
19.07449,72.8762
19.07403,72.87588
19.07355,72.87576
19.07327,72.87572
19.07268,72.87563
19.07208,72.87555
19.07149,72.87546
19.07071,72.87535
19.07061,72.87534
19.07008,72.87526
19.06962,72.87519
19.06916,72.87513
19.06861,72.87504
19.06806,72.87495
19.06754,72.87488
19.06702,72.8748
19.06654,72.87473
19.06605,72.87466
19.0652,72.87453
19.06509,72.87451
19.06471,72.87437
19.06413,72.87408
19.06354,72.87379
19.06306,72.87357
19.063,72.87353
19.06251,72.87329
19.06201,72.87304
19.06152,72.8728
19.06099,72.87265
19.06047,72.87249
19.06021,72.87241
19.06002,72.87234
19.0597,72.87211
19.05914,72.8717
19.05875,72.87143
19.05837,72.87115
19.05803,72.87091
19.05785,72.87078
19.05749,72.87051
19.05711,72.87024
19.05672,72.86996
19.05629,72.86968
19.05587,72.86939
19.05544,72.86911
19.05482,72.86868
19.05466,72.86855
19.05436,72.86832
19.05402,72.86806
19.05396,72.86801
19.05355,72.86768
19.05332,72.86752
19.0533,72.86751
19.05305,72.86728
19.05301,72.86723
19.0526,72.86691
19.05219,72.86659
19.05178,72.86628
19.05137,72.86596
19.05096,72.86564
19.05055,72.86532
19.05046,72.86525
19.05008,72.86499
19.0497,72.86473
19.04932,72.86447
19.04894,72.86421
19.04856,72.86395
19.04833,72.86379
19.04793,72.86352
19.04752,72.86324
19.04712,72.86297
19.0469,72.86282
19.04686,72.86279
19.0467,72.86279
19.04656,72.86285
19.04648,72.86289
19.046,72.86333
19.04568,72.86362
19.04557,72.8637
19.045,72.86406
19.04442,72.86441
19.04421,72.86457
19.04408,72.86543
19.04325,72.86513
19.04285,72.865
19.04232,72.86481
19.0418,72.86463
19.04114,72.86416
19.04064,72.86382
19.04015,72.86347
19.03954,72.86303
19.03944,72.86298
19.03928,72.86292
19.03885,72.86285
19.03835,72.86279
19.03829,72.86331
19.03792,72.86298
19.03762,72.86271
19.03753,72.86321
19.03748,72.86368
19.03747,72.86415
19.03746,72.86466
19.03745,72.86517
19.03745,72.86549
19.03743,72.86571
19.03743,72.86605
19.03745,72.8664
19.03743,72.86655
19.03741,72.86663
19.03737,72.86675
19.03717,72.8672
19.03693,72.86781
19.03672,72.8683
19.03658,72.8682
19.03605,72.86784
19.03583,72.8677
19.03535,72.86744
19.03492,72.8672
19.0345,72.86695
19.03407,72.86671
19.03368,72.86655
19.0335,72.86648
19.03315,72.86662
19.03262,72.86682
19.03209,72.86701
19.03199,72.86633
19.03198,72.86604
19.03197,72.8658
19.03197,72.86566
19.03193,72.86501
19.03189,72.86435
19.03188,72.86422
19.03186,72.86336
19.03181,72.86323
19.03172,72.86314
19.03148,72.8631
19.03137,72.86309
19.03077,72.86308
19.03017,72.86307
19.02957,72.86306
19.02954,72.86303
19.02951,72.86301
19.02947,72.86301
19.02943,72.86303
19.02939,72.86307
19.02875,72.86303
19.02836,72.86301
19.02786,72.86301
19.02736,72.86301
19.02686,72.86301
19.02659,72.86304
19.02593,72.86279
19.02565,72.86272
19.02544,72.86265
19.02516,72.86255
19.02464,72.86237
19.02412,72.8622
19.0236,72.86202
19.02344,72.86201
19.02308,72.862
19.02271,72.86208
19.02258,72.86206
19.02243,72.86205
19.02222,72.86192
19.02179,72.86195
19.02129,72.86202
19.02118,72.86204
19.02088,72.86205
19.02065,72.86206
19.02002,72.86198
19.01958,72.86189
19.01913,72.86179
19.01897,72.8618
19.01883,72.86186
19.01803,72.86222
19.01753,72.86244
19.01729,72.86198
19.01721,72.86157
19.01721,72.86151
19.01718,72.86147
19.01706,72.86143
19.01677,72.86133
19.01625,72.86117
19.01585,72.86107
19.0155,72.86096
19.01511,72.86084
19.01484,72.86076
19.01416,72.86066
19.01364,72.86061
19.01297,72.86056
19.01229,72.8605
19.01183,72.86036
19.01136,72.86021
19.0109,72.86007
19.01044,72.85992
19.01005,72.85976
19.00956,72.85962
19.00907,72.85949
19.00858,72.85935
19.00809,72.85921
19.00777,72.85912
19.00759,72.85866
19.0074,72.8582
19.00711,72.85766
19.00682,72.85712
19.00649,72.85648
19.00623,72.85615
19.00561,72.85573
19.00542,72.85569
19.00532,72.85567
19.00503,72.85561
19.00457,72.85561
19.0041,72.85561
19.00347,72.85562
19.00284,72.85563
19.00218,72.85561
19.00153,72.85559
19.00094,72.8555
19.00035,72.85542
19.0001,72.85535
18.99964,72.85516
18.99919,72.85497
18.99873,72.85478
18.99827,72.85458
18.9978,72.85439
18.99734,72.85419
18.99693,72.85399
18.99651,72.85379
18.99638,72.85374
18.99605,72.85376
18.99524,72.85339
18.99529,72.85347
18.99531,72.85354
18.99532,72.85361
18.99534,72.85385
18.9945,72.85392
18.99431,72.85396
18.99399,72.85403
18.99331,72.85433
18.99287,72.85454
18.99242,72.85474
18.99214,72.85461
18.9917,72.8544
18.99126,72.8542
18.99083,72.85399
18.99039,72.85378
18.98995,72.85358
18.98951,72.85337
18.98908,72.85316
18.98864,72.85295
18.9882,72.85275
18.98776,72.85254
18.98733,72.85233
18.98689,72.85213
18.98645,72.85192
18.9859,72.85167
18.98536,72.85143
18.98481,72.85118
18.98428,72.85093
18.98375,72.85067
18.98322,72.85042
18.98275,72.85019
18.98228,72.84996
18.98181,72.84974
18.98134,72.84951
18.98087,72.84928
18.9804,72.84905
18.97967,72.84869
18.97957,72.84863
18.97944,72.84851
18.97941,72.84847
18.97902,72.84793
18.97863,72.84738
18.97839,72.84713
18.97801,72.84661
18.97754,72.84596
18.97717,72.84559
18.97658,72.84523
18.97637,72.84517
18.97594,72.84512
18.97543,72.84507
18.97499,72.84512
18.97417,72.84532
18.97353,72.84555
18.97289,72.84577
18.9723,72.8459
18.97171,72.84602
18.97121,72.84606
18.97071,72.8461
18.97022,72.84615
18.96972,72.84619
18.96972,72.84592
18.96975,72.8456
18.96977,72.84547
18.96977,72.84541
18.96931,72.84535
18.96885,72.84528
18.96859,72.84522
18.96835,72.84515
18.96815,72.84509
18.9676,72.84484
18.96693,72.84466
18.9666,72.84456
18.96616,72.84439
18.96571,72.84422
18.96548,72.84409
18.96502,72.84386
18.96471,72.84377
18.96436,72.84376
18.96404,72.84383
18.96355,72.844
18.9633,72.84401
18.96285,72.8439
18.96239,72.84379
18.96194,72.84368
18.96149,72.84358
18.96104,72.84347
18.96058,72.84336
18.96013,72.84325
18.95967,72.84314
18.95921,72.84303
18.95875,72.84291
18.95829,72.8428
18.95783,72.84269
18.95736,72.84258
18.95668,72.84241
18.95619,72.84229
18.95564,72.84215
18.95506,72.842
18.95452,72.84187
18.95389,72.84171
18.95344,72.8416
18.95286,72.84145
18.95227,72.84131
18.95174,72.84118
18.95119,72.84104
18.95067,72.84091
18.95001,72.84075
18.94954,72.84063
18.94907,72.84052
18.94901,72.84044
18.94895,72.84034
18.94892,72.84025
18.9489,72.84011
18.9489,72.83994
18.94898,72.8392
18.94903,72.83852
18.94908,72.83784
18.94907,72.8377
18.94893,72.83711
18.94878,72.83639
18.94868,72.83591
18.94862,72.83554
18.94861,72.83539
18.9486,72.83528
18.94854,72.83509
18.9484,72.83517
18.94815,72.83525
18.94794,72.83528
18.94788,72.83528
18.94781,72.83528
18.94776,72.83528
18.94729,72.83521
18.94722,72.8352
18.94694,72.83514
18.9467,72.83509
18.94634,72.83498
18.94576,72.83477
18.94518,72.83456
18.94503,72.83449
18.94487,72.83441
18.94467,72.83432
18.94458,72.83429
18.94449,72.83427
18.94443,72.83426
18.9443,72.83427
18.94406,72.83431
18.9437,72.8344
18.94316,72.83446
18.94263,72.83451
18.94209,72.83457
18.94161,72.83463
18.94112,72.83468
18.94034,72.83476
18.93976,72.83479
18.93959,72.8348
18.93925,72.8348
18.93871,72.83463
18.93806,72.83434
18.93758,72.83418
18.93699,72.83397
18.93628,72.83374
18.93588,72.83358
18.93547,72.83336
18.93502,72.83303
18.93456,72.8327
18.93405,72.83231
18.93353,72.83193
18.93326,72.83174
18.93312,72.8316
18.93299,72.83138
18.93297,72.83128
18.93295,72.8312
18.93284,72.83118
18.93268,72.83119
18.93255,72.83125
18.93257,72.8312
18.93262,72.83113
18.93269,72.83061
18.93275,72.83009
18.93276,72.83
18.93283,72.8294
18.9329,72.82879
18.93291,72.82873
18.93294,72.82841
18.93295,72.82823
18.93297,72.82815
18.93299,72.82804
18.93302,72.82791
18.93306,72.82774
18.93319,72.82712
18.9332,72.82704
18.93325,72.82672
18.93328,72.82644
18.93334,72.82605
18.93339,72.82569
18.93344,72.82531
18.9335,72.82494
18.93356,72.8245
18.93359,72.82426
18.9336,72.82417
18.93366,72.82373
18.93365,72.82358
18.93315,72.82342
18.93264,72.82326
18.93213,72.82305
18.93162,72.82284
18.93102,72.82254
18.93042,72.82224
18.93002,72.822
18.92962,72.82177
18.92894,72.8213
18.92902,72.82116
